month,real_estate_listings,market_temperature_index,client_accounts,required_staff
2022-01-01,1280,68,19,45
2022-02-01,1340,70,20,47
2022-03-01,1450,73,21,51
2022-04-01,1580,75,22,56
2022-05-01,1625,74,23,58
2022-06-01,1480,71,24,52
2022-07-01,1430,70,24,50
2022-08-01,1360,69,23,48
2022-09-01,1490,72,25,54
2022-10-01,1380,68,24,49
2022-11-01,1425,70,25,51
2022-12-01,1500,72,26,55
2023-01-01,1600,75,26,58
2023-02-01,1650,76,27,60
2023-03-01,1720,77,28,63
2023-04-01,1800,78,29,67
2023-05-01,1760,77,30,65
2023-06-01,1680,75,30,62
2023-07-01,1620,74,29,59
2023-08-01,1580,73,29,58
2023-09-01,1700,75,30,63
2023-10-01,1600,72,29,60
2023-11-01,1640,73,30,62
2023-12-01,1720,74,31,65
2024-01-01,1780,76,32,67
2024-02-01,1820,78,33,69
2024-03-01,1890,79,34,72
2024-04-01,1950,80,35,75
2024-05-01,1900,79,35,73
2024-06-01,1800,77,34,70
2024-07-01,1750,76,33,67
2024-08-01,1680,75,33,65
2024-09-01,1800,77,34,70
2024-10-01,1720,74,33,67
2024-11-01,1760,75,34,69
2024-12-01,1820,76,35,72
2025-01-01,1880,78,36,74
2025-02-01,1920,79,37,76
2025-03-01,1980,80,38,79
2025-04-01,2040,81,39,82
2025-05-01,2000,80,39,80
2025-06-01,1920,78,38,77
2025-07-01,1860,77,37,74
2025-08-01,1800,76,36,72
2025-09-01,1920,78,38,77
2025-10-01,1840,75,37,75
2025-11-01,1880,76,38,77
2025-12-01,1950,77,39,79
